Summary,Issue Type,Priority,Description,Labels
[NOT] Crear tabla notification_logs en Supabase,Task,High,"Tabla: id, clinic_id, appointment_id, tipo, canal, enviado_en, estado (enviado/fallido).",notificaciones backend
[NOT] Supabase Edge Function: send-reminder,Task,Highest,"Edge Function que consulta citas de mañana, genera email personalizado (mascota, hora, veterinario, dirección) y envía vía Resend o SendGrid.",notificaciones backend
[NOT] Configurar Supabase pg_cron,Task,High,"Programar cron job en Supabase que ejecuta la Edge Function cada día a las 9am y cada mañana a las 8am para recordatorios de 2h.",notificaciones backend
[NOT] Template de email de recordatorio,Task,High,"Diseño HTML del email: nombre del propietario, nombre de la mascota, fecha y hora, veterinario asignado, dirección de la clínica, botón cancelar/confirmar.",notificaciones frontend
[NOT] Configurar proveedor de email (Resend),Task,High,"Crear cuenta en Resend.com, verificar dominio, obtener API key, configurar en Supabase Secrets.",notificaciones infra
[NOT] Historial de notificaciones enviadas,Task,Medium,"Vista en admin: tabla de logs de notificaciones con estado enviado/fallido, fecha, destinatario.",notificaciones frontend
[NOT] Opción opt-out para propietarios,Task,Medium,"Campo notificaciones_activas en tabla clients. Si es false no enviar recordatorios. Toggle en edición de cliente.",notificaciones frontend
[NOT] Tests de Edge Function,Task,Medium,"Tests unitarios de la lógica de filtrado de citas y generación del contenido del email.",notificaciones testing
[EPIC] Control de Inventario,Epic,High,"Gestión de insumos, medicamentos y productos con alertas de stock bajo y vencimiento.",inventario
[INV] Crear tipos y schema para inventario,Task,High,"Interfaz InventoryItem: nombre, categoría (insumo/medicamento/producto), stock, unidad, precio, fecha_vencimiento, stock_minimo.",inventario backend
[INV] Crear tabla inventory actualizada en Supabase,Task,High,"Agregar columna stock_minimo (default 5) y unidad a la tabla inventory.",inventario backend
[INV] Crear servicio inventory.service.ts,Task,High,"getInventory, getLowStockItems (stock <= stock_minimo), getExpiringItems (vence en 30 días), create, update, delete, adjustStock.",inventario backend
[INV] Server actions para inventario,Task,High,"createInventoryAction, updateInventoryAction, deleteInventoryAction, adjustStockAction.",inventario backend
[INV] Función de alertas de stock e inventario,Task,High,"getInventoryAlerts: retorna items con stock bajo y items por vencer en 30 días. Usado en Dashboard y panel de alertas.",inventario backend
[INV] Formulario InventoryForm,Task,Medium,"Campos: nombre, categoría (select), stock actual, unidad (unidades/ml/mg/cajas), precio, stock mínimo, fecha vencimiento.",inventario frontend
[INV] Tabla InventoryTable con filtros,Task,High,"Filtro por categoría, búsqueda por nombre, ordenar por stock y vencimiento. Fila con color si hay alerta.",inventario frontend
[INV] Badges de estado en tabla,Task,Medium,"Stock bajo=rojo, por vencer=amarillo, sin stock=negro, OK=verde. Columna visual de estado.",inventario frontend
[INV] Panel de alertas de inventario,Task,High,"InventoryAlertsPanel: dos secciones — Stock bajo (con botón ajustar) y Por vencer. Accesible desde Dashboard.",inventario frontend
[INV] Modal de ajuste rápido de stock,Task,Medium,"AdjustStockModal: input de cantidad a agregar o restar con motivo. Actualiza stock y registra movimiento.",inventario frontend
[INV] Vincular inventario con recetas y facturas,Task,High,"Al agregar medicamento en PrescriptionForm o InvoiceItem busca en inventario. Al facturar descuenta stock automáticamente.",inventario flujo
[INV] Exportación Excel de inventario,Task,Medium,"Exportar con headers: Nombre, Categoría, Stock, Unidad, Precio, Vencimiento, Estado.",inventario frontend
[INV] Tests unitarios inventario,Task,Low,"Tests para funciones de alertas de stock y vencimiento.",inventario testing
[EPIC] Reportes Financieros y Gráficos,Epic,High,"Dashboard analítico con gráficas Recharts: ingresos, citas, mascotas, vacunas, inventario. Exportación Excel por reporte.",reportes
[REP] Servicio de agregación reports.service.ts,Task,High,"Funciones con queries agregadas a Supabase: ingresos por mes, citas por mes, mascotas por especie, vacunas aplicadas, top servicios.",reportes backend
[REP] Reporte de ingresos por mes,Task,Highest,"Gráfica de barras Recharts: ingresos mensuales del año actual vs año anterior. Tooltip con total y comparativo.",reportes frontend
[REP] Reporte de citas por mes,Task,High,"Gráfica de líneas: número de citas por mes. Líneas separadas por estado (atendidas vs canceladas).",reportes frontend
[REP] Reporte de mascotas por especie,Task,High,"Gráfica de torta (PieChart): distribución porcentual por especie. Leyenda con cantidad.",reportes frontend
[REP] Reporte de vacunas y desparasitaciones,Task,Medium,"Gráfica de barras agrupadas: vacunas vs desparasitaciones aplicadas por mes.",reportes frontend
[REP] Reporte de inventario crítico,Task,Medium,"Tabla de items con stock bajo o por vencer. Exportable a Excel directamente.",reportes frontend
[REP] Reporte de hospitalizaciones,Task,Medium,"Gráfica de barras: ingresos hospitalarios vs altas por mes. Promedio de días internados.",reportes frontend
[REP] KPIs del período,Task,High,"Cards con métricas: total facturado en el período, ticket promedio, citas atendidas, nuevos pacientes, tasa de cancelación.",reportes frontend
[REP] Filtros globales de período,Task,High,"Selector de rango de fechas y veterinario que actualiza todos los gráficos simultáneamente.",reportes frontend
[REP] Exportación Excel por reporte,Task,Medium,"Botón exportar en cada gráfico: descarga los datos del período seleccionado con headers profesionales.",reportes frontend
[REP] Conectar Dashboard principal con datos reales,Task,High,"Reemplazar todos los mocks del Dashboard (Fase 2) con datos reales de Supabase.",reportes frontend
[REP] Tests unitarios reportes,Task,Low,"Tests para funciones de agregación con datos mock.",reportes testing
[EPIC] Facturación,Epic,High,"Generación de facturas por servicios y productos con descuento de inventario y exportación PDF.",facturacion
[FAC] Crear tipos y schema para facturación,Task,High,"Interfaz Invoice e InvoiceItem. Schema con owner_id, total, fecha, estado (pagada/pendiente/anulada).",facturacion backend
[FAC] Crear servicio invoices.service.ts,Task,High,"getInvoices, getInvoiceById, getInvoicesByOwner, createInvoiceWithItems, updateStatus, deleteInvoice.",facturacion backend
[FAC] Server action createInvoiceAction,Task,High,"Crear factura con items en transacción. Descontar stock de inventario por cada producto usado.",facturacion backend
[FAC] Formulario InvoiceForm con items dinámicos,Task,Highest,"Selector de propietario, tabla de ítems con agregar/eliminar filas, búsqueda de productos en inventario, cálculo automático de total.",facturacion frontend
[FAC] Generación de PDF de factura,Task,High,"Template profesional: logo clínica, datos clínica, datos cliente, tabla de servicios y productos, subtotal, total. Descarga e impresión.",facturacion frontend
[FAC] Vista detalle de factura,Task,High,"InvoiceDetailView: todos los datos, tabla de ítems, botón descargar PDF, cambiar estado (pagada/anulada).",facturacion frontend
[FAC] Historial de facturas por propietario,Task,Medium,"Sección en ClientDetailView: lista de facturas con fecha, total, estado, botón ver/descargar.",facturacion frontend
[FAC] Flujo cita atendida → generar factura,Task,High,"Desde cita atendida botón 'Generar factura' pre-llena owner_id, fecha y referencia a la consulta.",facturacion flujo
[FAC] Exportación Excel facturación,Task,Medium,"Exportar con headers: Factura N°, Cliente, Fecha, Servicios, Total, Estado.",facturacion frontend
[FAC] Tests unitarios facturación,Task,Low,"Tests para schema y cálculo de total con múltiples ítems.",facturacion testing
[EPIC] Flujos Completos E2E,Epic,Highest,"Escenarios de negocio completos que cruzan múltiples módulos del sistema.",flujo
[FLUJO] Registro de paciente nuevo completo,Task,Highest,"Flujo: 1-Crear propietario, 2-Crear mascota vinculada, 3-Subir foto de mascota, 4-Registrar vacunas iniciales, 5-Agendar primera cita. Verificar consistencia de datos en todo el recorrido.",flujo e2e
[FLUJO] Consulta completa con receta y factura,Task,Highest,"Flujo: 1-Confirmar cita pendiente, 2-Atender cita, 3-Crear historia clínica, 4-Adjuntar examen PDF, 5-Generar receta médica, 6-Descargar receta PDF, 7-Generar factura con medicamentos, 8-Descargar factura PDF.",flujo e2e
[FLUJO] Vacunación y desparasitación,Task,High,"Flujo: 1-Seleccionar mascota, 2-Registrar vacuna aplicada con lote, 3-Registrar desparasitación, 4-Definir próximas fechas, 5-Verificar alerta en Dashboard en período de vencimiento.",flujo e2e
[FLUJO] Hospitalización alta y facturación,Task,High,"Flujo: 1-Ingresar mascota a hospitalización, 2-Agregar evolución diaria día 1, 3-Agregar evolución día 2, 4-Verificar en Dashboard hospitalizados, 5-Dar de alta, 6-Generar factura de internación.",flujo e2e
[FLUJO] Control de stock con inventario,Task,High,"Flujo: 1-Agregar medicamento al inventario con stock mínimo, 2-Ver alerta de stock al bajar el límite, 3-Usar medicamento en receta, 4-Descontar stock desde factura, 5-Ajustar stock manualmente.",flujo e2e
[FLUJO] Recordatorio automático de cita,Task,High,"Flujo: 1-Crear cita para mañana, 2-Verificar que Edge Function detecta la cita, 3-Confirmar que email llega al propietario, 4-Verificar log en tabla notification_logs.",flujo e2e
[FLUJO] Cierre de mes con reportes,Task,Medium,"Flujo: 1-Seleccionar período del mes, 2-Ver KPIs del mes, 3-Ver gráfica de ingresos, 4-Exportar Excel de citas del mes, 5-Exportar Excel de facturas, 6-Ver reporte de vacunas vencidas.",flujo e2e
[EPIC] Infraestructura y Deploy,Epic,High,"CI/CD, seguridad, performance y puesta en producción.",infra
[INFRA] Configurar GitHub Actions CI pipeline,Task,High,"Workflow en cada PR: yarn lint, yarn type-check, yarn test. Bloquear merge si falla alguno.",infra ci-cd
[INFRA] Configurar Vercel para producción,Task,High,"Conectar repositorio con Vercel. Configurar env vars de producción. Deploy automático en merge a main.",infra deploy
[INFRA] Dominio y certificado SSL,Task,Medium,"Configurar dominio personalizado en Vercel. Verificar HTTPS.",infra deploy
[INFRA] Revisar todas las políticas RLS,Task,Highest,"Verificar que cada tabla tenga política de aislamiento por clinic_id. Probar con usuario de otra clínica que no pueda ver datos.",infra seguridad
[INFRA] Políticas de acceso en Storage,Task,High,"Bucket medical-records y pet-photos: solo usuarios autenticados de la misma clínica pueden leer y escribir.",infra seguridad
[INFRA] Agregar índices a Supabase,Task,Medium,"Índices en: clinic_id (todas las tablas), pet_id, owner_id, fecha_hora (appointments), created_at. Mejorar performance de queries.",infra performance
[INFRA] ErrorBoundary global y páginas de error,Task,Medium,"ErrorBoundary React global. Páginas personalizadas: not-found.tsx y error.tsx con botón volver.",infra ux
[INFRA] Loading states con Skeleton en todos los módulos,Task,Low,"Skeleton loaders consistentes en tablas, formularios y vistas de detalle. Suspense boundaries en Server Components.",infra ux
[INFRA] Revisión responsive en tablet y móvil,Task,Low,"Revisar y ajustar vistas críticas: dashboard, tablas, formularios, calendario en pantallas < 768px.",infra ux
[INFRA] Documentar variables de entorno,Task,Medium,"README actualizado con todas las env vars requeridas, instrucciones de Supabase Storage, pg_cron y Resend.",infra docs
